Vendedor;Produto;Código;Qtde;Preço Médio;Valor;Frete;Desconto;Outras despesas;Total Venda;Custo;Lucro
rafaela araujo  ;Bermuda Elastano;;41;65,00;2665;0;253,23;0;2411,77;1189;1.222,77
rafaela araujo  ;Bermuda Jeans;;65;65,00;4225;0;296,13;0;3928,87;1820;2.108,87
rafaela araujo  ;Bermuda Jeans EXGG;;4;88,00;352;0;28,76;0;323,24;152;171,24
rafaela araujo  ;Bermuda Moletom;;3;60,00;180;0;26,67;0;153,33;0;-
rafaela araujo  ;bermuda premium;;1;77,00;77;0;6,87;0;70,13;35;35,13
rafaela araujo  ;Bermuda Via Moda;;20;104,90;2098;0;201,71;0;1896,29;900;996,29
rafaela araujo  ;Blusão Moletom;;1;150,00;150;0;10;0;140;65;75
rafaela araujo  ;Bolador;;1;28,00;28;0;0;0;28;15,25;12,75
rafaela araujo  ;Boné Anth-Co;;22;55,00;1210;0;95,13;0;1114,87;528;586,87
rafaela araujo  ;bone chronic;;2;120,00;240;0;63,34;0;176,66;110;66,66
rafaela araujo  ;Bone de Grife;;1;55,00;55;0;5;0;50;0;-
rafaela araujo  ;Boné De Tela;;1;38,00;38;0;3;0;35;16;19
rafaela araujo  ;Bone five panel;;5;44,00;220;0;19,28;0;200,72;100;100,72
rafaela araujo  ;Boné Premium;;10;44,00;440;0;35,08;0;404,92;180;224,92
rafaela araujo  ;Brinco  De Prata 15;;1;15,00;15;0;0;0;15;7;8
rafaela araujo  ;Brinco De Prata 20;;6;20,00;120;0;7,37;0;112,63;60;52,63
rafaela araujo  ;Brinco De Prata 30;;7;31,29;219;0;15,3;0;203,7;91;112,7
rafaela araujo  ;Brinco Prata 25;;8;25,00;200;0;4,32;0;195,68;96;99,68
rafaela araujo  ;Bucket;;1;44,00;44;0;4;0;40;20;20
rafaela araujo  ;Bucket Premium;;5;77,00;385;0;32,74;0;352,26;175;177,26
rafaela araujo  ;Bvlgari Roleta;;1;220,00;220;0;0;0;220;100;120
rafaela araujo  ;Calça Cargo;;14;120,00;1680;0;117,48;0;1562,52;770;792,52
rafaela araujo  ;Calça Jeans;;7;88,00;616;0;27,4;0;588,6;280;308,6
rafaela araujo  ;Calça Jogger;;5;99,20;496;0;39,57;0;456,43;225;231,43
rafaela araujo  ;camisa basica;;3;63,33;190;0;26,83;0;163,17;0;-
rafaela araujo  ;Camisa Chronic;;64;82,00;5248;0;446,39;0;4801,61;2368;2.433,61
rafaela araujo  ;Camisa De Time;;5;44,00;220;0;16;0;204;0;-
rafaela araujo  ;Camisa Dri-fit;;3;42,67;128;0;8,15;0;119,85;51;68,85
