Vendedor;Produto;Código;Qtde;Preço Médio;Valor;Frete;Desconto;Outras despesas;Total Venda;Custo;Lucro
Vinicius  ;Corrente De Moeda 100;;4;110,00;440;0;40;0;400;180;220
Vinicius  ;Corrente De Prata 1,5 MM;;3;77,00;231;0;14,67;0;216,33;90;126,33
Vinicius  ;Corrente De Prata 2 MM;;8;110,00;880;0;55;0;825;368;457
Vinicius  ;Corrente De Prata 4 MM;;1;240,00;240;0;0;0;240;110;130
Vinicius  ;Corrente De Prata 5 MM;;1;360,00;360;0;20;0;340;165;175
Vinicius  ;Corrente De Prata 6 MM;;1;440,00;440;0;55;0;385;205;180
Vinicius  ;Corrente Friso S;;3;200,00;600;0;19,32;0;580,68;270;310,68
Vinicius  ;Corrente Moeda 70;;6;77,00;462;0;33,16;0;428,84;210;218,84
Vinicius  ;Corta Vento;;2;130,00;260;0;24,71;0;235,29;116;119,29
Vinicius  ;Cueca Simples;;50;12,00;600;0;56,39;0;543,61;250;293,61
Vinicius  ;Cuecas Algodão;;28;21,21;594;0;57,54;0;536,46;224;312,46
Vinicius  ;Cuia;;3;20,00;60;0;9,05;0;50,95;30;20,95
Vinicius  ;Dechavador;;3;5,00;15;0;0,75;0;14,25;6;8,25
Vinicius  ;Diferença De Troca;;10;50,00;500;0;225;0;275;0;-
Vinicius  ;Dri-fit Recortada;;7;55,00;385;0;29,25;0;355,75;0;-
Vinicius  ;Elo Baiano;;1;100,00;100;0;0;0;100;45;55
Vinicius  ;enchimento;;3;2,00;6;0;0;0;6;0;-
Vinicius  ;Escapulario Prata;;4;110,00;440;0;30;0;410;200;210
Vinicius  ;Jeans Cordão;;4;70,00;280;0;9,15;0;270,85;0;-
Vinicius  ;jeans original branca;;1;110,00;110;0;1,96;0;108,04;0;-
Vinicius  ;Kenner  Rakka Full Force;;1;150,00;150;0;0;0;150;70;80
Vinicius  ;Kenner Diamante;;5;150,00;750;0;31,84;0;718,16;350;368,16
Vinicius  ;kenner kivah;;24;129,17;3100;0;178,06;0;2921,94;1320;1.601,94
Vinicius  ;Kenner Kivah;;8;147,50;1180;0;72,5;0;1107,5;520;587,5
Vinicius  ;Kenner rakka full force;;3;150,00;450;0;27,08;0;422,92;0;-
Vinicius  ;kenner rakkab branca;;7;170,00;1190;0;93,1;0;1096,9;455;641,9
Vinicius  ;Kit Cueca;;1;77,00;77;0;0;0;77;0;-
Vinicius  ;Lego;;1;20,00;20;0;3,33;0;16,67;10;6,67
Vinicius  ;Lente Transparente Mola;;2;120,00;240;0;40;0;200;100;100
Vinicius  ;Maçarico;;7;20,00;140;0;10,23;0;129,77;73,5;56,27
Vinicius  ;meia;;2;12,00;24;0;1,47;0;22,53;0;-
Vinicius  ;mel do amor;;2;25,00;50;0;6,52;0;43,48;0;-
Vinicius  ;Melzinho;;2;20,00;40;0;1,98;0;38,02;18;20,02
Vinicius  ;Necessaire;;1;77,00;77;0;7;0;70;35;35
Vinicius  ;Oculos De Grife;;2;44,00;88;0;8;0;80;34;46
Vinicius  ;Oculos Juliett;;9;132,00;1188;0;162,6;0;1025,4;540;485,4
Vinicius  ;Oculos Oakley;;2;50,00;100;0;4,55;0;95,45;34;61,45
Vinicius  ;Oculos Vilão;;1;66,00;66;0;6,37;0;59,63;30;29,63
Vinicius  ;Papel De Presente;;5;2,00;10;0;0,49;0;9,51;2,5;7,01
Vinicius  ;Perfume Base De Oleo;;6;38,00;228;0;15,99;0;212,01;78;134,01
Vinicius  ;Perfume Similar;;8;29,50;236;0;10,25;0;225,75;104;121,75
Vinicius  ;Pingente De Moeda Antiga  G;;6;77,00;462;0;39,5;0;422,5;210;212,5
Vinicius  ;Pingente De Prata;;5;55,00;275;0;20;0;255;115;140
Vinicius  ;Pingente Moeda Antiga  P;;3;55,00;165;0;10,31;0;154,69;75;79,69
Vinicius  ;Pingente Pedraria;;1;90,00;90;0;0;0;90;40;50
Vinicius  ;Piteira Curta;;7;3,00;21;0;1,17;0;19,83;10,5;9,33
Vinicius  ;Pochete;;2;55,00;110;0;10;0;100;46;54
Vinicius  ;Polo Chronic;;2;110,00;220;0;22,31;0;197,69;91;106,69
Vinicius  ;Polo Gucci;;13;55,00;715;0;46,4;0;668,6;299;369,6
Vinicius  ;Polo Peruana;;8;110,00;880;0;43,48;0;836,52;440;396,52
Vinicius  ;Pulseira De Prata 2MM;;3;66,00;198;0;11,77;0;186,23;84;102,23
Vinicius  ;Pulseira De Prata 6 MM;;1;132,00;132;0;11,08;0;120,92;0;-
Vinicius  ;Pulseira Moeda 70;;3;55,00;165;0;12,26;0;152,74;75;77,74
Vinicius  ;Regata;;4;44,00;176;0;4,67;0;171,33;80;91,33
Vinicius  ;Regata  Premium;;3;55,00;165;0;16,35;0;148,65;66;82,65
Vinicius  ;Regata Americana;;18;55,00;990;0;77,12;0;912,88;432;480,88
Vinicius  ;Regata Dri-fit;;5;44,00;220;0;19,83;0;200,17;100;100,17
Vinicius  ;regata premium;;3;55,00;165;0;12,53;0;152,47;0;-
Vinicius  ;Relogio Atlantis;;1;143,00;143;0;7,69;0;135,31;50;85,31
Vinicius  ;relogio atlantis femenino;;1;132,00;132;0;1,87;0;130,13;0;-
Vinicius  ;Relogio Bvlgari;;1;200,00;200;0;18,75;0;181,25;70;111,25
Vinicius  ;Relogio G-Shock;;4;88,00;352;0;19,48;0;332,52;160;172,52
Vinicius  ;Relogio Invicta;;1;230,00;230;0;30;0;200;100;100
Vinicius  ;Relógio Pointer;;1;90,00;90;0;0;0;90;35;55
Vinicius  ;relogio polyjane;;1;77,00;77;0;7;0;70;0;-
Vinicius  ;Relogio Xufeng;;4;66,00;264;0;23,16;0;240,84;120;120,84
Vinicius  ;Relogio Yakuyza;;1;143,00;143;0;13;0;130;35;95
Vinicius  ;Sandalia Premium;;4;40,00;160;0;13,07;0;146,93;72;74,93
Vinicius  ;Seda Bem Bolado;;4;5,00;20;0;1,2;0;18,8;0;-
Vinicius  ;Seda Blunt;;8;10,00;80;0;3,78;0;76,22;80;-3,78
Vinicius  ;Seda Zomo;;2;3,00;6;0;0,8;0;5,2;3;2,2
Vinicius  ;Short Cargo;;3;77,00;231;0;8,08;0;222,92;96;126,92
Vinicius  ;Short Cargo Premium;;11;110,00;1210;0;82,82;0;1127,18;550;577,18
Vinicius  ;Short Dri-fit Premium;;38;88,00;3344;0;255,89;0;3088,11;0;-
Vinicius  ;Short Impermeável;;2;55,00;110;0;11,32;0;98,68;46;52,68
Vinicius  ;Short Jeans Premium;;61;82,00;5002;0;251,94;0;4750,06;2135;2.615,06
Vinicius  ;Short Linho premium;;9;66,00;594;0;50,48;0;543,52;270;273,52
Vinicius  ;spy cara de gato;;3;55,00;165;0;10;0;155;69;86
Vinicius  ;Spy Premium;;4;57,75;231;0;23,52;0;207,48;92;115,48
Vinicius  ;Spy Simples;;3;44,00;132;0;12;0;120;45;75
Vinicius  ;Tênis;;3;100,00;300;0;19,94;0;280,06;120;160,06
Vinicius  ;Tênis Air Force;;3;93,00;279;0;11;0;268;111;157
